Risk_Taking,Leadership,Emotionality,Planning,Social,Impulsiveness,Problem_Solving,Empathy,Adaptability,Character
3,5,2,4,5,2,5,5,4,Nairobi
2,2,2,4,1,1,3,3,5,Helsinki
5,2,5,1,5,3,2,4,5,Denver
5,2,5,2,5,5,2,5,4,Denver
1,4,2,4,4,1,4,2,5,Professor
4,1,4,2,4,4,2,2,4,Denver
3,1,5,3,2,4,5,3,4,Rio
1,5,2,5,1,1,5,3,4,Professor
2,3,1,3,2,2,3,3,3,Helsinki
1,3,3,3,2,1,3,5,3,Helsinki
1,5,1,5,2,1,4,4,5,Professor
3,5,5,3,4,1,5,4,3,Nairobi
2,2,1,2,4,1,4,4,3,Helsinki
3,3,5,1,3,5,2,3,3,Tokyo
5,3,5,2,3,5,3,3,5,Tokyo
1,3,1,3,2,3,3,5,3,Helsinki
2,5,1,5,3,1,4,1,3,Berlin
2,1,1,2,2,1,3,1,3,Oslo
5,1,5,3,4,4,1,3,5,Denver
3,1,3,4,2,3,5,4,4,Rio
2,5,2,5,5,2,5,5,4,Nairobi
3,1,5,3,4,3,5,3,5,Rio
3,3,5,5,2,1,3,4,3,Moscow
3,1,2,3,1,1,4,3,3,Helsinki
2,2,1,3,1,1,2,3,2,Oslo
5,3,4,2,3,5,2,4,5,Tokyo
2,2,5,2,2,3,5,4,2,Rio
5,3,5,1,2,5,4,3,4,Tokyo
2,2,5,4,2,1,3,4,3,Moscow
2,4,4,5,4,1,4,4,3,Berlin
1,2,1,3,1,1,3,1,3,Oslo
2,2,3,3,3,2,3,5,4,Moscow
2,5,2,5,2,2,3,3,5,Professor
3,2,2,4,2,1,4,4,1,Oslo
1,1,2,4,1,1,3,2,2,Oslo
2,1,2,2,1,1,4,5,3,Helsinki
2,1,5,3,3,4,5,3,5,Rio
3,2,5,4,3,1,5,5,3,Rio
1,2,1,3,1,1,2,2,2,Oslo
2,3,2,4,3,3,2,4,3,Helsinki
1,4,2,5,2,1,5,4,5,Professor
3,5,2,4,2,1,3,3,5,Professor
5,2,5,2,5,4,3,4,5,Denver
2,3,5,4,2,1,3,5,3,Moscow
1,3,3,4,4,1,4,2,2,Berlin
1,5,4,4,5,2,5,5,4,Nairobi
4,1,5,2,5,4,2,4,5,Denver
1,2,2,3,3,1,3,5,3,Helsinki
3,5,4,5,3,1,2,4,3,Berlin
3,2,5,2,2,5,4,3,5,Tokyo
4,4,5,5,3,1,4,4,3,Moscow
2,3,3,5,1,2,2,5,3,Moscow
2,3,5,1,4,3,5,3,4,Rio
1,4,4,4,1,1,2,5,4,Moscow
2,1,2,3,2,2,4,2,2,Helsinki
1,5,2,5,3,2,5,2,5,Professor
2,4,3,5,2,2,5,4,5,Professor
1,3,2,5,1,1,5,5,5,Professor
3,1,5,3,3,4,5,5,4,Rio
5,1,4,1,2,5,3,4,4,Tokyo
2,4,1,4,1,1,3,1,2,Oslo
2,3,1,2,1,3,3,3,3,Oslo
5,1,5,1,2,4,4,2,4,Tokyo
3,5,5,3,4,1,5,5,5,Nairobi
1,4,2,5,2,1,5,4,5,Professor
5,1,5,1,5,3,1,5,4,Denver
2,5,1,3,5,1,3,3,5,Berlin
3,4,2,5,2,1,4,5,5,Professor
2,3,2,3,2,1,4,4,2,Helsinki
1,5,2,5,1,1,4,4,5,Professor
2,2,3,3,3,2,4,4,4,Helsinki
1,2,2,3,2,1,2,3,3,Helsinki
5,1,5,3,3,3,4,4,4,Rio
2,5,3,5,5,2,2,1,3,Berlin
5,2,5,1,4,4,2,4,5,Denver
2,4,1,4,3,1,5,2,4,Berlin
2,4,5,5,2,1,3,5,3,Moscow
